Location,Price
Furnished 2bdrm Apartment in Agege for Rent,"                            ₦ 700,000 per annum                    "
3bdrm Duplex in Lekki for Rent,"                            ₦ 3,500,000 per annum                    "
Furnished 2bdrm Apartment in Victoria Island for Rent,"                            ₦ 9,000,000 per annum                    "
3bdrm Block of Flats in Surulere for Rent,"                            ₦ 1,700,000 per annum                    "
3bdrm Apartment in Ajah for Rent,"                            ₦ 1,500,000 per annum                    "
"2bdrm Block of Flats in Aiico Estate, Ijede / Ikorodu for Rent","                            ₦ 300,000 per annum                    "
"4bdrm Duplex in Off Okota Road, Ago Palace for Rent","                            ₦ 2,500,000,000 per annum                    "
4bdrm Townhouse / Terrace in Osapa London for Rent,"                            ₦ 4,000,000 per annum                    "
"Furnished 4bdrm Duplex in Mutual Gardens, Ajah for Rent","                            ₦ 2,500,000 per annum                    "
"4bdrm Duplex in Greenfield Estate, Ago Palace for Rent","                            ₦ 3,500 per annum                    "
4bdrm Duplex in Alidade Ago Okota for Rent,"                            ₦ 4,000,000 per annum                    "
"4bdrm Duplex in Startimes Estate, Ago Palace for Rent","                            ₦ 4,000,000 per annum                    "
1bdrm Shared Apartment in Chevron for Rent,"                            ₦ 800,000 per annum                    "
2bdrm Block of Flats in Thomas Estate for Rent,"                            ₦ 1,000,000 per annum                    "
2bdrm Block of Flats in Ogombo for Rent,"                            ₦ 1,300,000 per annum                    "
Mini Flat in Ogombo for Rent,"                            ₦ 500,000 per annum                    "
Furnished 3bdrm Duplex in Lekki Phase 1 for Rent,"                            ₦ 9,000,000 per annum                    "
4bdrm Duplex in Chevron Alternative for Rent,"                            ₦ 3,500,000 per quarter                    "
Furnished 2bdrm Bungalow in Ikorodu for Rent,"                            ₦ 200,000 per annum                    "
"Furnished 2bdrm Apartment in Blue Water, Victoria Island for Rent","                            ₦ 8,000,000 per annum                    "
Furnished 3bdrm Apartment in Ikate for Rent,"                            ₦ 6,000,000 per annum                    "
3bdrm Block of Flats in Idado Estate for Rent,"                            ₦ 3,500,000 per annum                    "
4bdrm Duplex in Lekki for Rent,"                            ₦ 4,000,000 per annum                    "
Furnished Mini Flat in Ikotun/Igando for Rent,"                            ₦ 350,000 per annum                    "
2bdrm Apartment in Lekki County Home for Rent,"                            ₦ 2,500,000 per quarter                    "
Furnished Mini Flat in Lekki Phase 1 for Rent,"                            ₦ 2,600,000 per annum                    "
"Furnished 4bdrm Duplex in Creek Apartments, Ikota for Rent","                            ₦ 3,500,000 per annum                    "
Furnished 2bdrm Apartment in Osbourne Estate for Rent,"                            ₦ 4,500,000 per annum                    "
Furnished 3bdrm Maisonette in Ikoyi Estate for Rent,"                            ₦ 12,000,000 per annum                    "
Standard 3 Bedrooms Flat for Rent Upstairs,"                            ₦ 1,000,000                    "
"4bdrm Duplex in Richmond Estate, Lekki Phase 1 for Rent","                            ₦ 6,500,000 per annum                    "
5bdrm Duplex in Osapa London for Rent,"                            ₦ 8,000,000 per annum                    "
